Distance (km),Delta Bullington (dB) 0,ITU Sperical Earth Diffraction (dB) 0,Fresnel-Kirchoff (dB) 0,ITU Single Rounded (dB) 0,Bullington (dB) 0,Epstein Peterson (dB) 0,Deygout (dB) 0,Giovaneli (dB) 0,Deygout Rounded (dB) 0,ITU Two Edge (dB) 0,ITU Two Rounded (dB) 0,Distance (km).1,Delta Bullington (dB) 1,Bullington (dB) 1,Epstein Peterson (dB) 1,Deygout (dB) 1,Giovaneli (dB) 1,Deygout Rounded (dB) 1,ITU Two Edge (dB) 1,ITU Two Rounded (dB) 1,Distance (km).2,Delta Bullington (dB) 2,ITU Sperical Earth Diffraction (dB) 2,Fresnel-Kirchoff (dB) 2,ITU Single Rounded (dB) 2,Bullington (dB) 2,Epstein Peterson (dB) 2,Deygout (dB) 2,Giovaneli (dB) 2,Deygout Rounded (dB) 2,ITU Two Edge (dB) 2,ITU Two Rounded (dB) 2,Distance (km).3,Delta Bullington (dB) 3,ITU Sperical Earth Diffraction (dB) 3,Fresnel-Kirchoff (dB) 3,ITU Single Rounded (dB) 3,Bullington (dB) 3,Epstein Peterson (dB) 3,Deygout (dB) 3,Giovaneli (dB) 3,Deygout Rounded (dB) 3
,,,,,,,,,,,,96.0,63.488360956905275,10.393164532653195,-0.09528233411715775,0.17294266615841272,0.12905492707271285,290.7406528349076,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,98.0,65.39959576774118,10.34755128752307,-0.24945766707269346,0.18809700121561165,0.13374596975747,293.86559497482483,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,100.0,66.5730644346152,10.306016490601843,-0.1031154328705575,0.17187065739606636,0.11867242861473891,312.8425326333297,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,102.0,68.07715457415144,10.264850515814352,-0.24479478294878548,0.1696266508670393,0.11818391589996013,321.78323528051055,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,104.0,69.51691296348233,10.227123773287634,-0.02115459219809358,0.18032619181279777,0.1197272815720054,332.5950710606503,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,106.0,70.93722199371057,10.18714883069106,0.3105170385813455,0.1737304007211449,0.1202738005820626,339.65518002653545,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,108.0,71.12293807738274,10.152368995756536,-0.0023071266176110383,0.17306703017765754,0.12288684019868183,337.9744719816185,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,110.0,65.74573882893111,10.121929789975885,0.12112027850617556,0.1779758350088816,0.11683332988771251,340.8820128760417,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,112.0,64.24784688507941,10.08914546777482,0.11344259112780768,0.1782580236253985,0.11996231192054704,341.384219087347,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,114.0,63.42421597472964,10.056891637695099,0.08198726069826953,0.17694117415973112,0.12327976634031658,330.05223742570774,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
